Turma;Aula;n;Avaliador;Notas
C;A1;1;A1;2
C;A1;2;A1;4
C;A1;3;A1;4
C;A1;4;A1;3
C;A1;5;A1;2
C;A1;6;A1;0
C;A1;7;A1;4
C;A1;8;A1;0
C;A1;9;A1;2
C;A1;10;A1;4.5
C;A1;11;A1;0
C;A1;12;A1;2
C;A1;13;A1;5.5
C;A1;14;A1;0
C;A1;15;A1;2
C;A1;1;A2;0
C;A1;2;A2;4
C;A1;3;A2;4
C;A1;4;A2;6
C;A1;5;A2;4
C;A1;6;A2;3.5
C;A1;7;A2;5.5
C;A1;8;A2;2
C;A1;9;A2;6.5
C;A1;10;A2;3
C;A1;11;A2;4
C;A1;12;A2;1
C;A1;13;A2;8
C;A1;14;A2;0
C;A1;15;A2;2
C;A1;1;A3;1.5
C;A1;2;A3;3.8
C;A1;3;A3;3.8
C;A1;4;A3;3.8
C;A1;5;A3;1.5
C;A1;6;A3;0
C;A1;7;A3;3.8
C;A1;8;A3;0
C;A1;9;A3;1.54
C;A1;10;A3;5.4
C;A1;11;A3;0.7
C;A1;12;A3;2.3
C;A1;13;A3;6.2
C;A1;14;A3;0
C;A1;15;A3;2.3
C;A2;1;A1;4
C;A2;2;A1;6
C;A2;3;A1;6
C;A2;4;A1;4
C;A2;5;A1;6
C;A2;6;A1;4
C;A2;7;A1;6
C;A2;8;A1;4
C;A2;9;A1;2
C;A2;10;A1;4
C;A2;11;A1;9
C;A2;12;A1;4
C;A2;13;A1;6
C;A2;14;A1;2
C;A2;15;A1;8
C;A2;16;A1;7
C;A2;1;A2;4
C;A2;2;A2;4
C;A2;3;A2;7
C;A2;4;A2;3.8
C;A2;5;A2;5.5
C;A2;6;A2;6
C;A2;7;A2;4.5
C;A2;8;A2;3
C;A2;9;A2;5
C;A2;10;A2;5
C;A2;11;A2;9
C;A2;12;A2;3
C;A2;13;A2;4
C;A2;14;A2;9
C;A2;15;A2;5
C;A2;16;A2;5.5
C;A2;1;A3;6
C;A2;2;A3;6
C;A2;3;A3;4
C;A2;4;A3;5
C;A2;5;A3;5
C;A2;6;A3;3
C;A2;7;A3;7.5
C;A2;8;A3;5.5
C;A2;9;A3;4
C;A2;10;A3;8
C;A2;11;A3;8
C;A2;12;A3;2
C;A2;13;A3;6
C;A2;14;A3;6.5
C;A2;15;A3;6
C;A2;16;A3;4
C;A3;1;A1;6
C;A3;2;A1;6
C;A3;3;A1;6
C;A3;4;A1;8
C;A3;5;A1;6
C;A3;6;A1;6
C;A3;7;A1;6
C;A3;8;A1;6
C;A3;9;A1;8
C;A3;10;A1;6
C;A3;11;A1;6
C;A3;12;A1;8
C;A3;13;A1;6
C;A3;14;A1;8
C;A3;15;A1;6
C;A3;16;A1;10
C;A3;17;A1;8
C;A3;18;A1;6
C;A3;1;A2;5.41
C;A3;2;A2;5.4
C;A3;3;A2;10
C;A3;4;A2;10
C;A3;5;A2;7.1
C;A3;6;A2;5.4
C;A3;7;A2;5.4
C;A3;8;A2;5.4
C;A3;9;A2;10
C;A3;10;A2;7.1
C;A3;11;A2;5.4
C;A3;12;A2;7.1
C;A3;13;A2;6.5
C;A3;14;A2;8.6
C;A3;15;A2;7.1
C;A3;16;A2;7.6
C;A3;17;A2;7.1
C;A3;18;A2;5.4
C;A3;1;A3;6
C;A3;2;A3;6
C;A3;3;A3;8
C;A3;4;A3;10
C;A3;5;A3;6
C;A3;6;A3;7
C;A3;7;A3;6
C;A3;8;A3;6
C;A3;9;A3;10
C;A3;10;A3;6
C;A3;11;A3;6
C;A3;12;A3;8
C;A3;13;A3;10
C;A3;14;A3;10
C;A3;15;A3;6
C;A3;16;A3;10
C;A3;17;A3;8
C;A3;18;A3;6
C;A4;1;A1;0
C;A4;1;A1;2
C;A4;1;A1;6
C;A4;1;A1;2
C;A4;1;A1;6
C;A4;1;A1;2
C;A4;1;A1;4
C;A4;1;A1;2
C;A4;1;A1;4.5
C;A4;1;A1;2
C;A4;1;A1;0
C;A4;1;A1;0.5
C;A4;1;A1;2.5
C;A4;1;A1;3.5
C;A4;1;A1;2.5
C;A4;1;A1;5
C;A4;1;A1;0
C;A4;1;A1;0
C;A4;1;A2;1.8
C;A4;1;A2;2
C;A4;1;A2;4
C;A4;1;A2;0
C;A4;1;A2;6
C;A4;1;A2;2
C;A4;1;A2;6
C;A4;1;A2;2
C;A4;1;A2;5
C;A4;1;A2;1
C;A4;1;A2;0
C;A4;1;A2;1.7
C;A4;1;A2;2
C;A4;1;A2;3
C;A4;1;A2;6
C;A4;1;A2;6
C;A4;1;A2;0
C;A4;1;A2;0
C;A4;1;A3;2.3
C;A4;1;A3;3
C;A4;1;A3;7.5
C;A4;1;A3;0
C;A4;1;A3;7.5
C;A4;1;A3;3.8
C;A4;1;A3;7
C;A4;1;A3;3
C;A4;1;A3;5.5
C;A4;1;A3;1
C;A4;1;A3;0
C;A4;1;A3;3.7
C;A4;1;A3;3.5
C;A4;1;A3;4
C;A4;1;A3;7
C;A4;1;A3;6
C;A4;1;A3;0
C;A4;1;A3;0
E1;A1;1;A1;6.5
E1;A1;1;A1;6.5
E1;A1;1;A1;6.5
E1;A1;1;A1;4.5
E1;A1;1;A1;6.5
E1;A1;1;A1;7.5
E1;A1;1;A1;2
E1;A1;1;A1;0.5
E1;A1;1;A1;5.5
E1;A1;1;A1;6.5
E1;A1;1;A1;4
E1;A1;1;A1;6.5
E1;A1;1;A2;7
E1;A1;1;A2;6
E1;A1;1;A2;8
E1;A1;1;A2;5.5
E1;A1;1;A2;8
E1;A1;1;A2;8
E1;A1;1;A2;1.5
E1;A1;1;A2;4
E1;A1;1;A2;5
E1;A1;1;A2;8
E1;A1;1;A2;6
E1;A1;1;A2;8
E1;A1;1;A3;6.2
E1;A1;1;A3;5.4
E1;A1;1;A3;6.9
E1;A1;1;A3;6.2
E1;A1;1;A3;8.5
E1;A1;1;A3;8.5
E1;A1;1;A3;2.31
E1;A1;1;A3;2.3
E1;A1;1;A3;5.4
E1;A1;1;A3;6.9
E1;A1;1;A3;5.4
E1;A1;1;A3;7.69
E1;A2;1;A1;7
E1;A2;1;A1;7
E1;A2;1;A1;8
E1;A2;1;A1;8.5
E1;A2;1;A1;7
E1;A2;1;A1;8
E1;A2;1;A1;8
E1;A2;1;A1;9.5
E1;A2;1;A1;6.5
E1;A2;1;A1;10
E1;A2;1;A1;7
E1;A2;1;A1;9
E1;A2;1;A1;9
E1;A2;1;A1;7
E1;A2;1;A2;7
E1;A2;1;A2;7
E1;A2;1;A2;6
E1;A2;1;A2;5
E1;A2;1;A2;6.6
E1;A2;1;A2;7
E1;A2;1;A2;6
E1;A2;1;A2;8
E1;A2;1;A2;4.8
E1;A2;1;A2;7.8
E1;A2;1;A2;8.2
E1;A2;1;A2;8.6
E1;A2;1;A2;6
E1;A2;1;A2;7
E1;A2;1;A3;6
E1;A2;1;A3;7
E1;A2;1;A3;8
E1;A2;1;A3;7
E1;A2;1;A3;8
E1;A2;1;A3;7
E1;A2;1;A3;7
E1;A2;1;A3;8
E1;A2;1;A3;7
E1;A2;1;A3;9
E1;A2;1;A3;7.6
E1;A2;1;A3;8.6
E1;A2;1;A3;8
E1;A2;1;A3;7
E1;A3;1;A1;2
E1;A3;1;A1;8
E1;A3;1;A1;7
E1;A3;1;A1;8
E1;A3;1;A1;8
E1;A3;1;A1;8
E1;A3;1;A1;10
E1;A3;1;A1;7
E1;A3;1;A1;8.5
E1;A3;1;A1;10
E1;A3;1;A1;9
E1;A3;1;A1;8
E1;A3;1;A1;10
E1;A3;1;A2;2
E1;A3;1;A2;7.1
E1;A3;1;A2;7.1
E1;A3;1;A2;7.1
E1;A3;1;A2;7.1
E1;A3;1;A2;7.1
E1;A3;1;A2;10
E1;A3;1;A2;7.5
E1;A3;1;A2;9
E1;A3;1;A2;10
E1;A3;1;A2;10
E1;A3;1;A2;7.1
E1;A3;1;A2;7.5
E1;A3;1;A3;10
E1;A3;1;A3;7
E1;A3;1;A3;7
E1;A3;1;A3;8.8
E1;A3;1;A3;2
E1;A3;1;A3;10
E1;A3;1;A3;8
E1;A3;1;A3;10
E1;A3;1;A3;7
E1;A3;1;A3;9.5
E1;A3;1;A3;9
E1;A3;1;A3;8
E1;A3;1;A3;7
E1;A4;1;A1;0
E1;A4;1;A1;6.5
E1;A4;1;A1;6
E1;A4;1;A1;2
E1;A4;1;A1;4
E1;A4;1;A1;6
E1;A4;1;A1;4
E1;A4;1;A1;2
E1;A4;1;A2;1
E1;A4;1;A2;7
E1;A4;1;A2;5
E1;A4;1;A2;1
E1;A4;1;A2;2
E1;A4;1;A2;2.5
E1;A4;1;A2;2
E1;A4;1;A2;1
E1;A4;1;A3;2
E1;A4;1;A3;8
E1;A4;1;A3;6
E1;A4;1;A3;2
E1;A4;1;A3;4
E1;A4;1;A3;4
E1;A4;1;A3;4
E1;A4;1;A3;2
E2;A1;1;A1;6.5
E2;A1;1;A1;6.5
E2;A1;1;A1;0
E2;A1;1;A1;9.5
E2;A1;1;A1;5.5
E2;A1;1;A1;1.5
E2;A1;1;A1;6
E2;A1;1;A1;7
E2;A1;1;A1;8.5
E2;A1;1;A1;3.5
E2;A1;1;A1;0
E2;A1;1;A1;5.5
E2;A1;1;A1;6.5
E2;A1;1;A1;2
E2;A1;1;A1;7
E2;A1;1;A1;6
E2;A1;1;A1;4
E2;A1;1;A1;6.5
E2;A1;1;A1;9
E2;A1;1;A1;7
E2;A1;1;A1;6.5
E2;A1;1;A1;5.5
E2;A1;1;A2;8
E2;A1;1;A2;9
E2;A1;1;A2;0
E2;A1;1;A2;10
E2;A1;1;A2;6.5
E2;A1;1;A2;2
E2;A1;1;A2;8
E2;A1;1;A2;9
E2;A1;1;A2;7.5
E2;A1;1;A2;4
E2;A1;1;A2;0
E2;A1;1;A2;8
E2;A1;1;A2;7
E2;A1;1;A2;2
E2;A1;1;A2;6.5
E2;A1;1;A2;5.5
E2;A1;1;A2;4.5
E2;A1;1;A2;9
E2;A1;1;A2;10
E2;A1;1;A2;9
E2;A1;1;A2;7
E2;A1;1;A2;6
E2;A1;1;A3;9.23
E2;A1;1;A3;0
E2;A1;1;A3;1.54
E2;A1;1;A3;0
E2;A1;1;A3;6.15
E2;A1;1;A3;3.85
E2;A1;1;A3;5.38
E2;A1;1;A3;4.62
E2;A1;1;A3;6.2
E2;A1;1;A3;8.46
E2;A1;1;A3;6.2
E2;A1;1;A3;6.2
E2;A1;1;A3;5.4
E2;A1;1;A3;6.2
E2;A1;1;A3;7.69
E2;A1;1;A3;1.5
E2;A1;1;A3;6.2
E2;A1;1;A3;6.2
E2;A1;1;A3;6.2
E2;A1;1;A3;6.2
E2;A1;1;A3;6.92
E2;A1;1;A3;8.46
E2;A2;1;A1;6
E2;A2;1;A1;8
E2;A2;1;A1;8
E2;A2;1;A1;6
E2;A2;1;A1;8
E2;A2;1;A1;10
E2;A2;1;A1;6
E2;A2;1;A1;8
E2;A2;1;A1;8
E2;A2;1;A1;8
E2;A2;1;A1;6
E2;A2;1;A1;8
E2;A2;1;A1;9
E2;A2;1;A1;6
E2;A2;1;A1;7
E2;A2;1;A1;6
E2;A2;1;A1;6
E2;A2;1;A1;8
E2;A2;1;A1;9
E2;A2;1;A1;8
E2;A2;1;A1;7
E2;A2;1;A1;7.5
E2;A2;1;A2;5
E2;A2;1;A2;6
E2;A2;1;A2;8.8
E2;A2;1;A2;4
E2;A2;1;A2;7.6
E2;A2;1;A2;8
E2;A2;1;A2;5
E2;A2;1;A2;7.4
E2;A2;1;A2;5.5
E2;A2;1;A2;5
E2;A2;1;A2;6
E2;A2;1;A2;7
E2;A2;1;A2;5.3
E2;A2;1;A2;4
E2;A2;1;A2;5
E2;A2;1;A2;6
E2;A2;1;A2;5.3
E2;A2;1;A2;7
E2;A2;1;A2;8.6
E2;A2;1;A2;6.8
E2;A2;1;A2;5.8
E2;A2;1;A2;5
E2;A2;1;A3;5
E2;A2;1;A3;7
E2;A2;1;A3;9
E2;A2;1;A3;7
E2;A2;1;A3;7
E2;A2;1;A3;9
E2;A2;1;A3;8.6
E2;A2;1;A3;7
E2;A2;1;A3;9
E2;A2;1;A3;8.6
E2;A2;1;A3;5
E2;A2;1;A3;7
E2;A2;1;A3;7.8
E2;A2;1;A3;4
E2;A2;1;A3;6.6
E2;A2;1;A3;4.6
E2;A2;1;A3;7
E2;A2;1;A3;6.6
E2;A2;1;A3;9
E2;A2;1;A3;9
E2;A2;1;A3;8
E2;A2;1;A3;8
E2;A3;1;A1;6
E2;A3;1;A1;10
E2;A3;1;A1;3
E2;A3;1;A1;10
E2;A3;1;A1;6
E2;A3;1;A1;5
E2;A3;1;A1;10
E2;A3;1;A1;6
E2;A3;1;A1;6
E2;A3;1;A1;7
E2;A3;1;A1;5
E2;A3;1;A1;10
E2;A3;1;A1;5.5
E2;A3;1;A1;10
E2;A3;1;A1;10
E2;A3;1;A1;5
E2;A3;1;A1;7
E2;A3;1;A1;2
E2;A3;1;A1;4
E2;A3;1;A1;7
E2;A3;1;A1;10
E2;A3;1;A1;8
E2;A3;1;A1;6
E2;A3;1;A2;7.1
E2;A3;1;A2;10
E2;A3;1;A2;3.7
E2;A3;1;A2;10
E2;A3;1;A2;5.4
E2;A3;1;A2;5.4
E2;A3;1;A2;5.9
E2;A3;1;A2;5.4
E2;A3;1;A2;5.4
E2;A3;1;A2;7.1
E2;A3;1;A2;7.6
E2;A3;1;A2;6
E2;A3;1;A2;10
E2;A3;1;A2;7.1
E2;A3;1;A2;7.1
E2;A3;1;A2;5.4
E2;A3;1;A2;6.1
E2;A3;1;A2;0
E2;A3;1;A2;5.1
E2;A3;1;A2;6.6
E2;A3;1;A2;10
E2;A3;1;A2;7.6
E2;A3;1;A2;5
E2;A3;1;A3;6
E2;A3;1;A3;3
E2;A3;1;A3;10
E2;A3;1;A3;10
E2;A3;1;A3;6
E2;A3;1;A3;5
E2;A3;1;A3;10
E2;A3;1;A3;6
E2;A3;1;A3;6
E2;A3;1;A3;8
E2;A3;1;A3;5
E2;A3;1;A3;10
E2;A3;1;A3;6
E2;A3;1;A3;10
E2;A3;1;A3;9
E2;A3;1;A3;5
E2;A3;1;A3;7
E2;A3;1;A3;2
E2;A3;1;A3;4
E2;A3;1;A3;7.8
E2;A3;1;A3;10
E2;A3;1;A3;9
E2;A3;1;A3;6
E2;A4;1;A1;2
E2;A4;1;A1;1
E2;A4;1;A1;4
E2;A4;1;A1;5
E2;A4;1;A1;4
E2;A4;1;A1;2
E2;A4;1;A1;4
E2;A4;1;A1;4.5
E2;A4;1;A1;4
E2;A4;1;A1;4
E2;A4;1;A1;3
E2;A4;1;A1;2
E2;A4;1;A1;8
E2;A4;1;A1;4
E2;A4;1;A1;0
E2;A4;1;A1;6
E2;A4;1;A1;2
E2;A4;1;A1;8
E2;A4;1;A1;2
E2;A4;1;A1;2.5
E2;A4;1;A2;2
E2;A4;1;A2;1
E2;A4;1;A2;2
E2;A4;1;A2;6
E2;A4;1;A2;3.5
E2;A4;1;A2;3
E2;A4;1;A2;4
E2;A4;1;A2;3
E2;A4;1;A2;3
E2;A4;1;A2;4
E2;A4;1;A2;3
E2;A4;1;A2;0
E2;A4;1;A2;6
E2;A4;1;A2;4
E2;A4;1;A2;0
E2;A4;1;A2;4
E2;A4;1;A2;3
E2;A4;1;A2;9
E2;A4;1;A2;3
E2;A4;1;A2;5
E2;A4;1;A3;4
E2;A4;1;A3;1.5
E2;A4;1;A3;4
E2;A4;1;A3;5.5
E2;A4;1;A3;3
E2;A4;1;A3;2
E2;A4;1;A3;4
E2;A4;1;A3;4.5
E2;A4;1;A3;4
E2;A4;1;A3;4
E2;A4;1;A3;3.5
E2;A4;1;A3;0
E2;A4;1;A3;8
E2;A4;1;A3;4
E2;A4;1;A3;0
E2;A4;1;A3;6
E2;A4;1;A3;2
E2;A4;1;A3;8
E2;A4;1;A3;2
E2;A4;1;A3;4.5
